"ID";"ISIL";"VZ_Sigel";"VZ_Code";"Institution";"Institution_DE";"Institution_FR";"Institution_IT";"Institution_RM";"Institution_EN";"Strasse";"PLZ";"Ort";"Kanton";"Land";"Telefon_Nr";"Fax_Nr";"E_Mail";"WWW";"Startdatum";"Enddatum";"Aufgegangen_in";"Verwaltungsgeschichte";"Bestandsbeschreibung";"Bibliotheksbestaende";"Andere_Bestaende";"URL_Findmittel";"Zugang";"Fernleihe_Tel";"Fernleihe_Fax";"Fernleihe_Mail";"Mitgliedschaft";"Dewey";"Status";"Zugangsbedingungen";"LastEditedOn"
"https://www.helveticarchives.ch/detail.aspx?ID=166875";"CH-000050-X";"Aa K";"AAK";"Aargauer Kantonsbibliothek";"";"";"";"";"";"Aargauerplatz";"5000";"Aarau";"AG";"CH";"+41 62 835 23 62";"";"kantonsbibliothek@ag.ch";"http://www.ag.ch/de/bks/kultur/archiv_bibliothek/kantonsbibliothek/kantonsbibliothek.jsp";"1803";"";"";"Die Aargauer Kantonsbibliothek wurde 1803 gegründet und 1807 eröffnet. Als Grundstock konnte damals die 9'000 Bände starke Privatbibliothek der einflussreichen Zuger Familie Zurlauben erworben werden. Nach der Klosteraufhebung von 1841 kamen Bestände aus den Klosterbibliotheken in die Sammlung. Die umfangreichsten und wichtigsten stammen aus den Abteien Muri und Wettingen. Unter diesen mittelalterlichen Handschriften und alten Drucken befinden sich viele wertvolle und einmalige Exemplare. Im 20. Jahrhundert kam eine weitere für die Wissenschaft wichtige Sammlung in die Aargauer Kantonsbibliothek: ein Teil des Nachlasses von Frank Wedekind. Neben Büchern, Zeitschriften und Zeitungen umfasst die aktuelle Sammlung der Kantonsbibliothek Landkarten, Musiknoten, CDs und DVDs. Der Schwerpunkt der Sammlung liegt aber bei Sach- und Fachpublikationen zu den verschiedensten Wissensgebieten. Besonderes Gewicht haben Publikationen aus dem Aargau und über den Aargau. Der im Kulturgesetz formulierte Sammelauftrag verpflichtet die Aargauer Kantonsbibliothek, veröffentlichte Informationen über den und aus dem Kanton zu erhalten. Damit bewahrt die Kantonsbibliothek einen Teil des historischen Erbes und der kulturellen Identität der Region.";"Aargauer Publikationen, aktuelle weiterführende Fachliteratur sowie Belletristik, div. Depotbibliotheken(Mykologie,Stenographie, Militär, Prediger,Sprachheilkunde)";"754'000 Medien";"1'250 Handschriften, 6 Nachlässe, 1'009 Mikrofilmen, 2'153 Karten/Pläne";"http://aargauer.aquabrowser.com/";"Lesesaal und Freihandbibliothek Montag bis Mittwoch und Freitag 08:30 - 18:00 Uhr Donnerstag 08:30 - 20:00 Uhr Samstag 08:30 - 16:00 Uhr Zugang zum Sonderlesesaal Sonderlesesaal wird nur mit vereinbartem Termin gewährt. Der Termin muss mindestens eine Woche im Voraus beantragt werden.";"+41 62 835 23 62";"";"kantonsbibliothek@ag.ch";"BIS, IFLA, MEMORIAV, OCLC, VSA/AAS";"";"aktiv";"Lieferung der Dokumente innerhalb von 48 Stunden";"2021-01-25"
"https://www.helveticarchives.ch/detail.aspx?ID=883304";"CH-001847-2";"";"";"Aargauer Kantonsschule Wohlen / Mediothek";"";"";"";"";"";"Allmendstr. 26";"5610";"Wohlen";"AG";"CH";"+41 56 618 49 24";"";"mediothek@kanti-wohlen.ch";"http://www.kanti-wohlen.ch/ueber-uns/mediothek";"";"";"";"Die Mediothek der Kantonsschule Wohlen ist seit 1987 im Calatrava-Bau untergebracht und erstrahlt als architektonischer Medientempel. Die Mediothek deckt die Informationsbedürfnisse der Schüler- und Lehrerschaft ab betreffend Unterrichtsstoff und Freizeitbedarf.";"Sachbücher, Belletristik, Graphic Novels und Mangas, DVDs, Hörbücher, Maturaarbeiten, Studien- und Berufsinformationsmappen";"20000";"Musik CDs in der Fachschaftsbibliothek";"http://aargauer.aquabrowser.com/?&branch=KSWO";"Nicht öffentliche Schulbibliothek, bei Anfragen um Ausleihe aber je nach Möglichkeit und Einschreibung machbar";"";"";"";"BIS";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167132";"";"Bd 1";"BD001";"ABB Corporate Research Ltd. / CHCRCA. 4 / Library";"";"";"";"";"";"";"";"Dättwil AG";"AG";"CH";"";"";"";"";"";"1993";"";"Die Bibliothek existiert nicht mehr.";"";"";"";"";"";"";"";"";"";"";"inaktiv";"";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167122";"CH-001543-7";"";"";"ABB Schweiz AG Historisches Archiv";"";"";"";"";"";"Brown Boveri Strasse 6";"5400";"Baden";"AG";"CH";"+41 58 585 56 77";"";"archive.abb@docuteam.ch";"http://www.abb.ch/";"";"";"";"";"Aktenbestände der Kommanditgesellschaft Brown Boveri & Cie. BBC (1891-1900), Aktiengesellschaft Brown, Boveri & Cie. BBC (1900-1987), Asea Brown Boveri ABB Schweiz (ab 1988), Maschinenfabrik Oerlikon MFO (1876-1967), Micafil AG (1918-2004); Fotoarchive, Filmarchive und Objekte der Aktenbildner; Handbibliothek";"";"";"";"";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=166872";"CH-000425-9";"Aa 1";"AA001";"Alte Kantonsschule / Medienzentrum";"";"";"";"";"";"Bahnhofstrasse 91";"5001";"Aarau";"AG";"CH";"";"";"";"";"";"";"";"";"";"";"";"";"Das Medienzentrum ist nicht öffentlich und nur für Schulangehörige der AKSA und der ksb zugänglich";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=1343855";"CH-002036-X";"";"";"Bibliothek Höhere Fachschule Gesundheit und Soziales";"";"";"";"";"";"Südallee 22";"5001";"Aarau";"AG";"CH";"+41 62 200 21 49";"";"anne.guenther@hfgs.ch";"";"";"";"";"Die Bibliothek der Höheren Fachschule Gesundheit und Soziales steht Studierenden und Lehrpersonen der Bildungsgänge Operationstechnik, Sozialpädagogik & Pflege HF während der Ausbildungszeit zur Verfügung.";"Fachbibliothek Gesundheit & Soziales mit Büchern, Nonbooks & Fachzeitschriften für die Bildungsgänge Operationstechnik, Sozialpädagogik & Pflege HF";"5500 Medien";"";"";"nicht öffentlich, bzw. öffentlich nach Voranmeldung und individuellen Absprachen.";"";"";"";"ABN";"";"aktiv";"Einsichtnahme an Ort und Stelle möglich (vorher anfragen); Fotokopien von Artikeln nur, wenn nicht in einer A-, B- oder C-Bibliothek lokalisierbar";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167086";"CH-001221-3";"";"";"Campusbibliothek Brugg-Windisch";"Campusbibliothek Brugg-Windisch";"";"";"";"";"Bahnhofstrasse 6";"5210";"Windisch";"AG";"CH";"+41 56 202 77 70";"";"bibliothek.windisch@fhnw.ch";"http://www.fhnw.ch/campus-brugg-windisch/bibliothek";"2013";"";"";"Seit dem 12. August 2013 besteht die Campusbibliothek Brugg-Windisch am FHNW-Standort Brugg. Sie entstand aus einer Fusion der Bibliothek für Schule und Bildung Aarau, der Bibliothek Pädagogische Hochschule Brugg, der Hochschulbibliotheken Technik und Wirtschaft Windisch, sowie des FHNW-Bestands der Mediothek des Bildungszentrums Zofingen.";"Die Campusbibliothek Brugg-Windisch stellt Fachliteratur für die Hochschulen für Pädagogik, Wirtschaft und Technik zur Verfügung. Das Angebot richtet sich an Lehrende und Lernende der Fachhochschule Nordwestschweiz, Lehrpersonen des Kantons Aargau sowie an interessierte Fachpersonen.";"ca. 100'000 Einheiten";"";"";"öffentlich, ohne Voranmeldung zugänglich. Mitglied im NEBIS-Verbund, Einschreibung notwendig, siehe www.nebis.ch.";"";"";"";"BIS, Consortium, SWITCH, SIKJM";"370.0 [Erziehungswissenschaften]
300.0 [Sozialwissenschaften]
607 [Fachdidaktik]
027.8 [Sämtliche Schulfächer der Volksschule]
027.8 [Lehrmittel für alle Schulfächer]";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=1203746";"CH-002003-9";"";"";"Docuteam GmbH";"";"";"Docuteam Sàrl";"";"";"Im Langacker 16";"5405";"Baden-Dättwil";"AG";"CH";"+41 56 470 03 37";"";"info@docuteam.ch";"http://www.docuteam.ch/";"2003";"";"";"";"Firmenarchiv/Firmengeschichte";"";"";"";"";"";"";"";"VSA/AAS";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=229145";"CH-001587-1";"";"";"Dorfbibliothek Dottikon";"";"";"";"";"";"Bahnhofstrasse 28";"5605";"Dottikon";"AG";"CH";"+41 56 624 36 57";"";"bibliothek.dottikon@hispeed.ch";"www.dottikon.ch";"";"";"";"Seit Mai 2006 allgemeine öffentliche Schul- und Gemeindebibliothek";"Belletristik";"9'650 Medien (Sachbücher, Hörbücher, Kassetten, CD-ROMs, DVDs, Zeitschriften für Kinder, Jugendliche und Erwachsene)";"";"";"Zugänglich während 8,5 Wochenstunden, zusätzlich Schulklassen nach Anmeldung";"";"";"";"SAB, SIKJM";"808.8 [Belletristik]";"aktiv";"Lieferung der Dokumente innerhalb von 48 Stunden";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=1159086";"CH-001970-6";"";"";"Fachstelle Katechese - Medien (Aarau)";"";"";"";"";"";"Hohlgasse 30";"5000";"Aarau";"AG";"CH";"+41 62 836 10 63";"";"medienverleih@kathaargau.ch";"http://www.aareka.ch/medienverleih/";"";"";"";"";"Ausleihbar sind mehr als 10'000 Materialien zu biblischen, religiösen, kirchlichen und ethischen Themen: Arbeitshilfen, Bücher, CDs, Dias, DVDs, Folien, Bilder, Medienpakete, Realien, Spiele, ...";"";"";"";"";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
