ID,Canton,Population
15,Appenzell Rh.-Ext,55309
16,Appenzell Rh.-Int.,16293
19,Argovie,694072
13,Bâle-Campagne,290969
12,Bâle-Ville,196735
2,Berne,1043132
10,Fribourg,325496
25,Genève,506343
8,Glaris,40851
18,Grisons,200096
26,Jura,73709
3,Lucerne,416347
24,Neuchâtel,175894
7,Nidwald,43520
6,Obwald,38108
17,Saint-Gall,514504
14,Schaffhouse,83107
5,Schwyz,162157
11,Soleure,277462
21,Tessin,350986
20,Thurgovie,282909
4,Uri,36819
23,Valais,348503
22,Vaud ,814762
9,Zoug,128794
1,Zurich,1553423
