ID,Cantons,Enseignants
1,Zürich,19145
2,Bern / Berne,15575
3,Luzern,5986
4,Uri,524
5,Schwyz,1830
6,Obwalden,540
7,Nidwalden,593
8,Glarus,586
9,Zug,1811
10,Fribourg / Freiburg,5080
11,Solothurn,3479
12,Basel-Stadt,3090
13,Basel-Landschaft,4360
14,Schaffhausen,1232
15,Appenzell Ausserrhoden,768
16,Appenzell Innerrhoden,197
17,St. Gallen,7626
18,Graubünden / Grigioni / Grischun,2558
19,Aargau,10781
20,Thurgau,3978
21,Ticino,5201
22,Vaud,11918
23,Valais / Wallis,4734
24,Neuchâtel,2731
25,Genève,7315
26,Jura,1174
