ID,Cantons,Femmes,Hommes
1,Zurich ,73,107
2,Berne ,63,97
3,Lucerne,41,79
4,Uri,16,48
5,Schwytz,9,91
6,Obwald ,10,45
7,Nidwald ,16,44
8,Glaris ,13,47
9,Zoug,23,57
10,Fribourg,37,73
11,Soleure ,30,70
12,Bâle-Ville,42,58
13,Bâle-Campagne,36,54
14,Schaffhouse,16,44
15,Appenzell Rh.-Ext. ,22,43
16,Appenzell Rh.-Int. 1),12,38
17,Saint-Gall,32,88
18,Grisons ,26,94
19,Argovie,44,96
20,Thurgovie 7),44,86
21,Tessin,31,59
22,Vaud ,54,96
23,Valais ,45,85
24,Neuchâtel,58,42
25,Genève ,32,68
26,Jura,15,45
