Institution,Rue,Lieu,ZIP,Email,Tel
Aargauer Kantonsbibliothek,Aargauerplatz,Aarau,5000,kantonsbibliothek@ag.ch,+41 62/835.23.62
Aargauer Kantonsschule Wohlen / Mediothek,Allmendstr. 26,Wohlen,5610,mediothek@kanti-wohlen.ch,+41 56/618/49/24
ABB Schweiz AG Historisches Archiv,Brown Boveri Strasse 6,Baden,5400,archive.abb@docuteam.ch,+41 58/585/56/77
Bibliothek Höhere Fachschule Gesundheit und Soziales,Südallee 22,Aarau,5001,anne.guenther@hfgs.ch,+4162 200 2149
Campusbibliothek Brugg-Windisch,Bahnhofstrasse 6,Windisch,5210,bibliothek.windisch@fhnw.ch,+41 56/202.77.70
Docuteam GmbH,Im Langacker 16,Baden-Dättwil,5405,info@docuteam.ch,+41 (0) 56 470 03 37
Dorfbibliothek Dottikon,Bahnhofstrasse 28,Dottikon,5605,bibliothek.dottikon@hispeed.ch,056/624.36.57
Fachstelle Katechese - Medien (Aarau),Hohlgasse 30,Aarau,5000,medienverleih@kathaargau.ch,+4162 836 1063
Gemeindearchiv Bözberg,Chapf 9,Bözberg,5225,verwaltung@boezberg.ch,056/4602460
Gemeindearchiv Remetschwil,Dorfstrasse 4,Remetschwil,5453,gemeindekanzlei@remetschwil.ch,+41 (0) 56 485 84 00
Gemeindebibliothek Spreitenbach,Langäckerstrasse 11,Spreitenbach,8957,bibliothek@spreitenbach.ch,+4156 418 8680
Gemeindebibliothek Violahof,Giebenacherstrasse 54,Kaiseraugst,4303,bibliothek@kaiseraugst.ch,+41 61/811.56.37
Historische Sammlung Museum Aargau Bibliothek,Schloss Lenzburg,Lenzburg,5600,verena.gobeli@ag.ch,062 888 48 40
Info-Zentrum Aarau / ask! - Beratungsdienste für Ausbildung und Beruf,Herzogstrasse 1,Aarau,5000,info@bdag.ch,062 832 64 20
Info-Zentrum Baden / ask! - Beratungsdienste für Ausbildung und Beruf,Schmiedestrasse 13 / Gebäude 1485,Baden,5400,info@bdag.ch,+41 62/832.65.20
Info-Zentrum Rheinfelden / ask! - Beratungsdienste für Ausbildung und Beruf,Kaiserstrasse 8,Rheinfelden,4310,info@bdag.ch,062/832.65.50
Info-Zentrum Wohlen / ask! - Beratungsdienste für Ausbildung und Beruf,Zentralstrasse 17,Wohlen,5610,info@bdag.ch,+41 (0) 62 832 65 70
Internationales Baum-Archiv / Verena Eggmann und Bernd Steiner,"c/o Naturama Aargau, Feerstrasse 17",Aarau,5000,info@naturama.ch,062 832 72 85
Kirchgemeinde Menziken-Reinach,Mühlebühlstrasse 5,Menziken,5737,st.anna@kath-menziken.ch,+41 62/765.48.00
"Lib4Ri: PSI / Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL",WHGA/012,Villigen PSI,5232,info@lib4ri.ch,+41 58/765/57/00
Metron AG / Bibliothek,Stahlrain 2,Brugg,5201,info@metron.ch,+41 (0) 56 460 91 11
Museum Burghalde,Schlossgasse 23,Lenzburg,5600,burghalde@lenzburg.ch,062/8916670
Museum Langmatt,Römerstrasse 30,Baden,5401,info@langmatt.ch,056/200.86.70
Nagra Info-Centre / Bibliothek,Hardstrasse 73,Wettingen,5430,info-centre@nagra.ch,056-437-13-29
Naturama Aargau / Bibliothek,Feerstrasse 17,Aarau,5000,d.rast@naturama.ch,+4162 832 7266
Regionalbibliothek Klingnau,Sonnengasse 12,Klingnau,5313,bibliothek.klingnau@bluewin.ch,(056) 245-37-69
SBB Historic,Lagerstrasse,Windisch,5210,info@sbbhistoric.ch,056-566-52-22
Schlagwortnormdatei Schweiz SNS,Bleichemattstrasse 42,Aarau,5000,sab@sabclp.ch; alexandra.rietmann@proacta.ch,+41 62/823/19/40
Schul- und Gemeindebibliothek Muhen,Schulstrasse 1,Muhen,5037,bibliothek@muhen.ch,+41 62/737/16/66
Schweizerische Koordinationsstelle für Bildungsforschung (SKBF),Entfelderstrasse 61,Aarau,5000,info@skbf-csre.ch,062/858.23.90
Staatsarchiv des Kantons Aargau,Entfelderstrasse 22,Aarau,5001,staatsarchiv@ag.ch,062 835 12 90
Stadtarchiv Aarau,Rathausgasse 1,Aarau,5000,stadtarchivar@aarau.ch,+41 62/836/05/14
Stadtarchiv Baden,Wettingerstrasse 2,Baden,5401,stadtarchiv@baden.ch,056 2008451
Stadtarchiv Bremgarten,Rathausplatz 1,Bremgarten,5620,stadtkanzlei@bremgarten.ch,+41 56/648.74.61
Stadtarchiv Brugg,Hauptstrasse 3,Brugg AG,5201,stadtarchiv@brugg.ch,056 470 03 37
Stadtarchiv Laufenburg,Laufenplatz 145,Laufenburg,5080,gemeindekanzlei@laufenburg.ch,062 8694670
Stadtarchiv Mellingen,Scheunengasse 7,Mellingen,5507,gemeindekanzlei@mellingen.ch,+4156 481 8820
Stadtbibliothek Aarau,Graben 15,Aarau,5001,bibliothek@aarau.ch,+4162 824 5011
Stadtbibliothek Baden,Mellingerstrasse 19,Baden,5400,stadtbibliothek@baden.ch,+41 56/200.83.20
Stadtbibliothek Bremgarten,Schellenhausstrasse 2,Bremgarten AG,5620,bibliothek@bremgarten.ch,056/6337987
Stadtbibliothek Brugg,Vorstadt 17,Brugg,5200,info@stadtbibliothek-brugg.ch,+41 56/441.84.61
Stadtbibliothek Zofingen,Hintere Hauptgasse 20,Zofingen,4800,stadtbibliothek@zofingen.ch,062 7521653
Theologisch-Diakonisches Seminar Aarau,Frey-Herosé-Strasse 9,Aarau,5000,bibliothek@tdsaarau.ch,+41 62/836.43.49
Landesarchiv Appenzell Innerrhoden,Marktgasse 2,Appenzell,9050,landesarchiv@rk.ai.ch,+4171 788 9331
Archiv Katholische Pfarrei Teufen-Bühler-Stein,Pfarreisekretariat / Stofelweid 1b,Teufen,9053,sekretariat@kath-teufen.ch,+41 71/333.13.52
Archiv Kirchenverwaltungsrat Teufen-Bühler-Stein,Pfarreisekretariat / Stofelweid 1b,Teufen,9053,sekretariat@kath-teufen.ch,071/333.13.52
Bibliothek Herisau,Poststrasse 9,Herisau,9100,mail@biblioherisau.ch,(071) 351-56-16
Historisches Archiv Sefar,Hinterbissaustrasse 25,Heiden,9410,archiv@sefar.ch,+41 71/898.58.04
Kantonsbibliothek Appenzell Ausserrhoden,Landsgemeindeplatz 7,Trogen,9043,kantonsbibliothek@ar.ch,071/3436421
Staatsarchiv Appenzell Ausserrhoden,Schützenstrasse 1A,Herisau,9102,staatsarchiv@ar.ch,071 353 63 50
Abegg-Stiftung / Bibliothek,Werner-Abegg-Strasse 67,Riggisberg,3132,bibliothek@abegg-stiftung.ch,(031) 808-12-23
Alliance Sud InfoDoc / Dokumentationszentrum,Monbijoustrasse 29,Bern,3011 (3001 Postfach),dokumentation@alliancesud.ch,+41 31/390/93/37
Alpines Museum der Schweiz,Helvetiaplatz 4,Bern,3005,info@alpinesmuseum.ch,031-350-04-40
"Amnesty International, Schweizer Sektion, Bibliothek",Speichergasse 33,Bern,3011,info@amnesty.ch,031 307 22 22
Amt für Gemeinden und Raumordnung des Kantons Bern / Bibliothek,Nydeggasse 11/13,Bern,3011,kpl.agr@jgk.be.ch,(031) 633-77-50
"Amt für Zweisprachigkeit, Gesetzgebung und Ressourcen / Bibliothek",Postgasse 68,Bern,3011,info.terminologie@sta.be.ch,031/6337529
Arbeitsstelle Schweiz des RISM (Répertoire International des Sources Musicales),Hallwylstrasse 15,Bern 6,3000,info@rism-ch.org,+41 58/464/49/34
Archiv der Beratungsstelle für Unfallverhütung bfu,Hodlerstrasse 5a,Bern,3011,docu@bfu.ch,031/390.22.22
Archiv für Agrargeschichte,Villettemattstrasse 9,Bern,3007,info@agrararchiv.ch,031 911 72 55
Archiv und Sammlung Hermann Rorschach,Bühlstrasse 26,Bern,3012,Stefan.haechler@img.unibe.ch,031/631.84.73
Ballenberg - Freilichtmuseum der Schweiz,Museumsstrasse 131,Hofstetten bei Brienz BE,3858,info@ballenberg.ch,033-952-10-30
"Berner Fachhochschule, Architektur, Holz und Bau/Technik und Informatik, Bibliothek",Pestalozzistrasse 20,Burgdorf,3400,biblio.ti-bu@bfh.ch,034/4264333
"Berner Fachhochschule, Departement Soziale Arbeit, Bibliothek",Hallerstrasse 8,Bern,3012,bibliothek.soziale-arbeit@bfh.ch,(031) 848-36-36
"Berner Fachhochschule (BFH), Hochschule der Künste Bern (HKB), Musikbibliothek",Papiermühlestrasse 13j,Bern,3014,musikbibliothek@hkb.bfh.ch,+41 (0) 31 848 39 60
"Berner Fachhochschule, Technik und Informatik, Bibliothek",Quellgasse 21,Biel/Bienne,2502,biblio.ti-bi@bfh.ch,+41 32/321/64/62
Berner Fachhochschule / Wirtschaft / Bibliothek,Brückenstrasse 73,Bern,3005,bibliothek.wirtschaft@bfh.ch,+41 31/848/34/59
Bernisches Historisches Museum,Helvetiaplatz 5,Bern,3005,info@bhm.ch,031-350-77-11
"Berufsberatungs- und Informationszentren des Kantons Bern, BIZ Bern, Infothek",Bremgartenstrasse 37,Bern,3001,biz-bern@erz.be.ch,031/6338000
Bibliothek am Guisanplatz BiG,Papiermühlestrasse 21 A,Bern,3003,bibliothek@gs-vbs.admin.ch,+41 58/464/50/99
Bibliothek und Dokumentation der Beratungsstelle für Unfallverhütung bfu,Hodlerstrasse 5a,Bern,3011,docu@bfu.ch,+41 31/390/22/22
Bibliothèque Communale et Scolaire,Place du Collège 1,Sonvilier,2615,bibliotheque@sonvilier.ch,+41 (0) 32 941 12 30
