Institution,Rue,Lieu,ZIP,Email,Tel
Aargauer Kantonsbibliothek,Aargauerplatz,Aarau,5000,kantonsbibliothek@ag.ch,062/8352362
Aargauer Kantonsschule Wohlen / Mediothek,Allmendstr. 26,Wohlen,5610,mediothek@kanti-wohlen.ch,056 618 49 24
ABB Schweiz AG Historisches Archiv,Brown Boveri Strasse 6,Baden,5400,archive.abb@docuteam.ch,058/5855677
Bibliothek Höhere Fachschule Gesundheit und Soziales,Südallee 22,Aarau,5001,anne.guenther@hfgs.ch,062/2002149
Campusbibliothek Brugg-Windisch,Bahnhofstrasse 6,Windisch,5210,bibliothek.windisch@fhnw.ch,056/2027770
Docuteam GmbH,Im Langacker 16,Baden-Dättwil,5405,info@docuteam.ch,056/4700337
Dorfbibliothek Dottikon,Bahnhofstrasse 28,Dottikon,5605,bibliothek.dottikon@hispeed.ch,056 6243657
Fachstelle Katechese - Medien (Aarau),Hohlgasse 30,Aarau,5000,medienverleih@kathaargau.ch,062 836 10 63
Gemeindearchiv Bözberg,Chapf 9,Bözberg,5225,verwaltung@boezberg.ch,056 460 24 60
Gemeindearchiv Remetschwil,Dorfstrasse 4,Remetschwil,5453,gemeindekanzlei@remetschwil.ch,056/4858400
Gemeindebibliothek Spreitenbach,Langäckerstrasse 11,Spreitenbach,8957,bibliothek@spreitenbach.ch,056/4188680
Gemeindebibliothek Violahof,Giebenacherstrasse 54,Kaiseraugst,4303,bibliothek@kaiseraugst.ch,061 8115637
Historische Sammlung Museum Aargau Bibliothek,Schloss Lenzburg,Lenzburg,5600,verena.gobeli@ag.ch,062 888 48 40
Info-Zentrum Aarau / ask! - Beratungsdienste für Ausbildung und Beruf,Herzogstrasse 1,Aarau,5000,info@bdag.ch,062 832 64 20
Info-Zentrum Baden / ask! - Beratungsdienste für Ausbildung und Beruf,Schmiedestrasse 13 / Gebäude 1485,Baden,5400,info@bdag.ch,062 832 65 20
Info-Zentrum Rheinfelden / ask! - Beratungsdienste für Ausbildung und Beruf,Kaiserstrasse 8,Rheinfelden,4310,info@bdag.ch,062 832 65 50
Info-Zentrum Wohlen / ask! - Beratungsdienste für Ausbildung und Beruf,Zentralstrasse 17,Wohlen,5610,info@bdag.ch,062/8326570
Internationales Baum-Archiv / Verena Eggmann und Bernd Steiner,"c/o Naturama Aargau, Feerstrasse 17",Aarau,5000,info@naturama.ch,062 832 72 85
Kirchgemeinde Menziken-Reinach,Mühlebühlstrasse 5,Menziken,5737,st.anna@kath-menziken.ch,062 7654800
"Lib4Ri: PSI / Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL",WHGA/012,Villigen PSI,5232,info@lib4ri.ch,058/7655700
Metron AG / Bibliothek,Stahlrain 2,Brugg,5201,info@metron.ch,056 460 91 11
Museum Burghalde,Schlossgasse 23,Lenzburg,5600,burghalde@lenzburg.ch,062 891 66 70
Museum Langmatt,Römerstrasse 30,Baden,5401,info@langmatt.ch,056/2008670
Nagra Info-Centre / Bibliothek,Hardstrasse 73,Wettingen,5430,info-centre@nagra.ch,056 4371329
Naturama Aargau / Bibliothek,Feerstrasse 17,Aarau,5000,d.rast@naturama.ch,062 832 72 66
Regionalbibliothek Klingnau,Sonnengasse 12,Klingnau,5313,bibliothek.klingnau@bluewin.ch,056 2453769
SBB Historic,Lagerstrasse,Windisch,5210,info@sbbhistoric.ch,056/5665222
Schlagwortnormdatei Schweiz SNS,Bleichemattstrasse 42,Aarau,5000,sab@sabclp.ch; alexandra.rietmann@proacta.ch,062 823 19 40
Schul- und Gemeindebibliothek Muhen,Schulstrasse 1,Muhen,5037,bibliothek@muhen.ch,062 737 16 66
Schweizerische Koordinationsstelle für Bildungsforschung (SKBF),Entfelderstrasse 61,Aarau,5000,info@skbf-csre.ch,062/8582390
Staatsarchiv des Kantons Aargau,Entfelderstrasse 22,Aarau,5001,staatsarchiv@ag.ch,062 835 12 90
Stadtarchiv Aarau,Rathausgasse 1,Aarau,5000,stadtarchivar@aarau.ch,062/8360514
Stadtarchiv Baden,Wettingerstrasse 2,Baden,5401,stadtarchiv@baden.ch,056/2008451
Stadtarchiv Bremgarten,Rathausplatz 1,Bremgarten,5620,stadtkanzlei@bremgarten.ch,056 6487461
Stadtarchiv Brugg,Hauptstrasse 3,Brugg AG,5201,stadtarchiv@brugg.ch,056/4700337
Stadtarchiv Laufenburg,Laufenplatz 145,Laufenburg,5080,gemeindekanzlei@laufenburg.ch,062/8694670
Stadtarchiv Mellingen,Scheunengasse 7,Mellingen,5507,gemeindekanzlei@mellingen.ch,056 4818820
Stadtbibliothek Aarau,Graben 15,Aarau,5001,bibliothek@aarau.ch,062 824 50 11
Stadtbibliothek Baden,Mellingerstrasse 19,Baden,5400,stadtbibliothek@baden.ch,056 200 83 20
Stadtbibliothek Bremgarten,Schellenhausstrasse 2,Bremgarten AG,5620,bibliothek@bremgarten.ch,056 6337987
Stadtbibliothek Brugg,Vorstadt 17,Brugg,5200,info@stadtbibliothek-brugg.ch,056 4418461
Stadtbibliothek Zofingen,Hintere Hauptgasse 20,Zofingen,4800,stadtbibliothek@zofingen.ch,062 752 16 53
